"category_english","total_revenue","order_count","avg_item_price"
health_beauty,1258681.34,8836,130.16
watches_gifts,1205005.68,5624,201.14
bed_bath_table,1036988.68,9417,93.30
sports_leisure,988048.97,7720,114.34
computers_accessories,911954.32,6689,116.51
furniture_decor,729762.49,6449,87.56
cool_stuff,635290.85,3632,167.36
housewares,632248.66,5884,90.79
auto,592720.11,3897,139.96
garden_tools,485256.46,3518,111.63
toys,483946.60,3886,117.55
baby,411764.89,2885,134.34
perfumery,399124.87,3162,116.74
telephony,323667.53,4199,71.21
office_furniture,273960.70,1273,162.01
stationery,230943.23,2311,91.75
computers,222963.13,181,1098.34
pet_shop,214315.41,1710,110.07
musical_instruments,191498.88,628,281.62
small_appliances,190648.58,630,280.78
unknown,185049.76,1473,113.74
electronics,160246.74,2550,57.91
consoles_games,157465.22,1062,138.49
fashion_bags_accessories,152823.54,1864,75.25
construction_tools_construction,144677.59,748,155.73
luggage_accessories,140429.98,1034,128.60
home_appliances_2,113317.74,234,476.12
home_construction,83088.12,490,137.56
home_appliances,80171.53,764,103.98
agro_industry_and_commerce,72530.47,182,342.12
furniture_living_room,68916.56,422,137.01
fixed_telephony,59583.00,217,225.69
home_confort,58572.04,397,134.96
air_conditioning,55024.96,253,185.27
audio,50688.50,350,139.25
small_appliances_home_oven_and_coffee,47445.71,75,624.29
books_general_interest,46856.88,512,84.73
kitchen_dining_laundry_garden_furniture,46328.37,248,164.87
construction_tools_lights,41080.00,244,135.13
construction_tools_safety,40544.52,167,208.99
industry_commerce_and_business,39669.61,235,148.02
food,29393.41,450,57.63
market_place,28378.47,280,91.25
costruction_tools_garden,25715.89,194,108.05
art,24202.64,202,115.80
fashion_shoes,23562.77,240,89.93
drinks,22428.70,297,59.18
signaling_and_security,21509.23,140,108.09
furniture_bedroom,20028.78,95,183.75
books_technical,19096.06,260,71.52
costruction_tools_tools,15903.95,97,154.41
food_drink,15179.48,227,54.60
fashion_male_clothing,10797.82,112,81.80
fashion_underwear_beach,9541.55,121,72.84
christmas_supplies,8800.82,128,57.52
tablets_printing_image,7528.41,79,90.70
cine_photo,6933.46,65,96.30
music,6034.35,38,158.80
dvds_blu_ray,5999.39,59,93.74
books_imported,4639.85,53,77.33
party_supplies,4485.18,39,104.31
furniture_mattress_and_upholstery,4368.08,38,114.95
fashio_female_clothing,2803.64,39,58.41
fashion_sport,2119.51,27,70.65
la_cuisine,2054.99,13,146.79
arts_and_craftmanship,1814.01,23,75.58
diapers_and_hygiene,1567.59,27,40.19
flowers,1110.04,29,33.64
home_comfort_2,760.27,24,25.34
cds_dvds_musicals,730.00,12,52.14
fashion_childrens_clothes,569.85,8,71.23
security_and_services,283.29,2,141.65
