"seller_id","order_count","avg_review_score","pct_one_star","on_time_rate","avg_delivery_days"
"4342d4b2ba6b161468c63a7e7cfce593",20,1.26,89.5,50.0,15.5
b1b3948701c5c72445495bd161b83a4c,18,1.72,77.8,35.7,23.4
"973f21788dfab357250f69a8dcb7ddee",10,2.00,70.0,44.4,23.6
ffff564a4f9085cd26170f4732393726,20,2.10,65.0,100.0,12.8
"1ca7077d890b907f89be8c954a02686a",115,2.33,53.5,83.3,15.5
fa74b2f3287d296e9fbd2cc80f2d1cf1,11,2.36,63.6,60.0,30.2
"40db9e9aa57f7bb151bcda6b0f9bdbb7",12,2.36,54.5,91.7,14.7
"5bc55dbe2f12b6af6d83ed46023e0dc8",17,2.41,47.1,76.5,13.8
b5abf4f36adc043117b4fca82c22984c,11,2.55,45.5,75.0,19.5
ecccfa2bb93b34a3bf033cc5d1dcdc69,15,2.57,50.0,83.3,32.1
cb5df0dcb9e280b1780e9d589889f2c7,16,2.60,53.3,81.8,21.7
"48fb026ed7455a42f5d3e9390ed5088e",11,2.64,36.4,100.0,11.8
"02d35243ea2e497335cd0f076b45675d",14,2.64,42.9,71.4,26.1
"2eb70248d66e0e3ef83659f71b244378",202,2.70,40.4,88.8,17.9
"8a87611c08849ffeeccab52aa798b6c7",13,2.77,46.2,100.0,9.0
b19f3ca2ea475913750f25a5c37c8d8f,24,2.79,45.8,68.4,18.4
"4e8dacf3d38f281ae26c3e0321d92d88",10,2.80,40.0,87.5,12.3
"2f09f7d37a97956d11cc1a7cadd5262b",11,2.91,45.5,85.7,12.9
"4c8b8048e33af2bf94f2eb547746a916",23,2.96,34.8,89.5,18.5
d71d863e5ef30d94e440c11be17dcd8f,29,2.96,38.5,87.0,19.1
c9a06ece156bb057372c68718ec8909b,14,3.00,35.7,100.0,11.6
"54965bbe3e4f07ae045b90b0b8541f52",78,3.00,40.5,69.9,26.1
"20b54c376b794ed028df09a3cd88e8dc",11,3.00,36.4,71.4,21.1
"2aa3443d7bf9d9bb11133f420d75e083",10,3.00,40.0,80.0,10.5
"26e2c91ef821e1ff8985f408788fe35b",12,3.00,25.0,58.3,26.1
a49928bcdf77c55c6d6e05e09a9b4ca5,98,3.01,34.7,78.1,16.8
"972d0f9cf61b499a4812cf0bfa3ad3c4",83,3.03,32.9,88.9,18.1
dc8798cbf453b7e0f98745e396cc5616,41,3.05,36.6,94.3,13.4
bb135baca94c82fcb731335ad5b04a03,18,3.06,38.9,100.0,9.2
ad781527c93d00d89a11eecd9dcad7c1,44,3.07,34.1,68.4,25.4
