"customer_state","revenue","order_count","customer_count","avg_item_price","revenue_per_customer"
SP,5202955.05,41375,39981,109.65,130.14
RJ,1824092.67,12762,12303,125.12,148.26
MG,1585308.03,11544,11178,120.75,141.82
RS,750304.02,5432,5249,120.34,142.94
PR,683083.76,4998,4840,119.00,141.13
SC,520553.34,3612,3513,124.65,148.18
BA,511349.99,3358,3257,134.60,157.00
DF,302603.94,2125,2062,125.77,146.75
GO,294591.95,2007,1942,126.27,151.70
ES,275037.31,2025,1956,121.91,140.61
PE,262788.03,1648,1605,145.51,163.73
CE,227254.71,1327,1305,153.76,174.14
PA,178947.81,970,944,165.69,189.56
MT,156453.53,903,873,148.30,179.21
MA,119648.22,740,719,145.20,166.41
MS,116812.64,709,688,142.63,169.79
PB,115268.08,532,516,191.48,223.39
PI,86914.08,493,481,160.36,180.69
RN,83034.98,482,471,156.97,176.30
AL,80314.81,411,399,180.89,201.29
SE,58920.85,345,338,153.04,174.32
TO,49621.74,279,272,157.53,182.43
RO,46140.64,247,235,165.97,196.34
AM,22356.84,147,142,135.50,157.44
AC,15982.95,81,77,173.73,207.57
AP,13474.30,68,67,164.32,201.11
RR,7829.43,46,45,150.57,173.99
